date,club,country,elo
2015-02-15,Caen,FRA,1563.61
2015-02-15,Cagliari,ITA,1538.52
2015-02-15,Cardiff,ENG,1476.49
2015-02-15,Carpi,ITA,1491.96
2015-02-15,Catania,ITA,1448.59
2015-02-15,Celta,ESP,1714.01
2015-02-15,Cesena,ITA,1446.6
2015-02-15,Charlton,ENG,1438.5
2015-02-15,Chelsea,ENG,1947.17
2015-02-15,Chievo,ITA,1543.88
2015-02-15,Clermont,FRA,1393.75
2015-02-15,Cordoba,ESP,1599.05
2015-02-15,Crotone,ITA,1364.02
2015-02-15,Crystal Palace,ENG,1631.52
2015-02-15,Darmstadt,GER,1478.63
2015-02-15,Derby,ENG,1619.85
2015-02-15,Dijon,FRA,1480.25
2015-02-15,Dortmund,GER,1806.79
2015-02-15,Eibar,ESP,1660.17
2015-02-15,Ein Frankfurt,GER,1687.8
2015-02-15,Elche,ESP,1644.57
2015-02-15,Empoli,ITA,1534.79
2015-02-15,Erciyesspor,TUR,1424.34
2015-02-15,Eskisehirspor,TUR,1474.47
2015-02-15,Espanol,ESP,1710.25
2015-02-15,Everton,ENG,1745.74
2015-02-15,Evian Thonon Gaillard,FRA,1541.21
